FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
930978|10202 Water Well|Well|NM|35|Eddy|015|322631N|1041330W|32.4420623|-104.2249491|||||949|3113|Carlsbad East|05/01/1994|
1993980|Hamm Storage Tank|Reservoir|NM|35|Eddy|015|320923N|1044758W|32.1564985|-104.7993977|||||1867|6125|Pickett Hill|09/04/2003|
931896|06087 Water Well|Well|NM|35|Eddy|015|324821N|1042242W|32.8059464|-104.3782954|||||1022|3353|Artesia|05/01/1994|
898235|Robinia Draw|Valley|NM|35|Eddy|015|321804N|1042718W|32.3012246|-104.4549535|322008N|1043309W|32.3356668|-104.5524573|1153|3783|Carnero Peak|08/31/1992|03/01/2010
899012|McCollum Ranch|Locale|NM|35|Eddy|015|320600N|1044543W|32.1001116|-104.7618954|||||1896|6220|El Paso Gap|12/01/1991|
931937|06424 Water Well|Well|NM|35|Eddy|015|324533N|1042515W|32.7592801|-104.4207968|||||1043|3422|Artesia|05/01/1994|
932062|06065 Water Well|Well|NM|35|Eddy|015|324904N|1042430W|32.8178904|-104.4082964|||||1037|3402|Artesia|05/01/1994|
894217|Runyan Ranch|Locale|NM|35|Eddy|015|324054N|1044424W|32.6817743|-104.7399686|||||1247|4091|Antelope Sink|11/13/1980|
888705|East Tank|Reservoir|NM|35|Eddy|015|321553N|1041557W|32.2646725|-104.2658477|||||991|3251|Kitchen Cove|11/13/1980|06/23/2011
938585|KCCC-AM (Carlsbad)|Tower|NM|35|Eddy|015|322420N|1041123W|32.4056741|-104.1896692|||||937|3074|Carlsbad East|07/01/1994|
933879|Lake Arthur High School|School|NM|35|Eddy|015|325953N|1042200W|32.9981657|-104.3666291|||||1030|3379|Artesia NE|09/01/1992|
907929|Lefthook Canyon|Valley|NM|35|Eddy|015|320408N|1043826W|32.0690032|-104.6405047|320504N|1043917W|32.0844444|-104.6547222|1419|4655|Gunsight Canyon|11/13/1980|
901776|Faith Memorial Free Will Baptist Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|12/01/1992|
937515|Cass Post Office (historical)|Post Office|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|08/01/1993|
901918|First Christian Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|12/01/1992|
916590|Hobbs Highway Pit|Mine|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|06/01/1993|
901830|Epworth United Methodist Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|12/01/1992|
901781|La Huerta Baptist Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|12/01/1992|
902442|Church of Christ-Sunset|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|01/01/1993|
902440|Church of Christ--Spanish|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|01/01/1993|
902451|Carlsbad Mennonite Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|01/01/1993|
902471|Rice Memorial CME Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|01/01/1993|
933017|Francis|Populated Place|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|05/01/1994|
902501|Restoration Church|Church|NM|35|Eddy|015|Unknown|Unknown|0|0|||||||Unknown|01/01/1993|
933222|Valley of the Seven Rivers|Stream|NM|35|Eddy|015|Unknown|Unknown|0|0|000000N|0000000E|0|0|||Unknown|06/01/1994|
